iter	Passed	Remaining
437	1647	2114
438	1650	2109
439	1660	2112
440	1664	2109
441	1671	2109
442	1676	2108
443	1680	2104
444	1684	2100
445	1708	2121
446	1711	2116
447	1714	2112
448	1717	2107
449	1720	2103
450	1727	2102
451	1730	2097
452	1733	2092
453	1736	2087
454	1739	2084
455	1750	2088
456	1753	2083
457	1756	2078
458	1759	2074
459	1762	2069
460	1766	2065
461	1771	2062
462	1774	2057
463	1777	2053
464	1783	2052
465	1787	2048
466	1790	2043
467	1795	2041
468	1798	2036
469	1802	2032
470	1804	2026
471	1814	2030
472	1817	2025
473	1822	2022
474	1826	2018
475	1829	2014
476	1832	2009
477	1841	2011
478	1849	2011
479	1852	2007
480	1855	2002
481	1858	1997
482	1862	1993
483	1865	1988
484	1870	1985
485	1872	1980
486	1875	1975
487	1878	1970
488	1881	1966
489	1885	1962
490	1887	1957
491	1890	1952
492	1893	1947
493	1896	1942
494	1901	1940
495	1904	1934
496	1908	1931
497	1914	1929
498	1917	1924
499	1920	1920
500	1923	1915
501	1925	1910
502	1929	1906
503	1933	1902
504	1936	1898
505	1939	1893
506	1942	1888
507	1949	1888
508	1953	1884
509	1958	1881
510	1961	1876
511	1964	1871
512	1967	1867
513	1970	1863
514	1973	1858
515	1976	1853
516	1981	1851
517	1984	1846
518	1987	1841
519	1989	1836
520	1992	1832
521	1995	1827
522	1998	1822
523	2003	1820
524	2007	1816
525	2012	1813
526	2015	1808
527	2019	1805
528	2022	1800
529	2033	1803
530	2036	1798
531	2039	1794
532	2042	1789
533	2045	1784
534	2050	1782
535	2053	1777
536	2056	1772
537	2059	1768
538	2062	1763
539	2082	1773
540	2085	1769
541	2088	1764
542	2091	1759
543	2094	1755
544	2098	1751
545	2101	1747
546	2104	1742
547	2106	1737
548	2110	1733
549	2112	1728
550	2118	1726
551	2121	1722
552	2124	1717
553	2127	1712
554	2130	1707
555	2132	1703
556	2135	1698
557	2141	1696
558	2144	1692
559	2147	1687
560	2169	1697
561	2171	1692
562	2174	1687
563	2177	1683
564	2180	1678
565	2183	1674
566	2189	1672
567	2192	1667
568	2195	1662
569	2197	1658
570	2208	1659
571	2212	1655
572	2215	1650
573	2218	1646
574	2221	1641
575	2224	1637
576	2227	1632
577	2231	1629
578	2236	1626
579	2239	1621
580	2242	1616
581	2245	1612
582	2247	1607
583	2250	1603
584	2253	1598
585	2259	1596
586	2262	1591
587	2265	1587
588	2268	1582
589	2271	1578
590	2274	1573
591	2276	1569
592	2281	1565
593	2284	1561
594	2286	1556
595	2289	1552
596	2292	1547
597	2311	1553
598	2314	1549
599	2317	1545
600	2320	1540
601	2323	1535
602	2329	1533
603	2332	1529
604	2335	1525
605	2339	1521
606	2342	1516
607	2345	1512
608	2348	1507
609	2360	1509
610	2363	1504
611	2366	1500
612	2369	1496
613	2375	1493
614	2378	1488
615	2383	1485
616	2386	1481
617	2388	1476
618	2396	1474
619	2401	1471
620	2404	1467
621	2407	1462
622	2410	1458
623	2412	1453
624	2415	1449
